Phase,Hours,Version,Workstream,Feature,Deliverable,Acceptance
Mobile API,H161-H168,v0.2,Control API,Approvals and audit,"Approval decision API, audit records","Phone approval changes job state"
Multi-agent,H169-H178,v0.3,Agents,Subagent model,"Explorer and Worker roles","Role prompts/specs are clean-room"
Multi-agent,H179-H188,v0.3,Agents,Task queue,"Spawn, wait, continue, cancel subtask","Concurrent tasks do not block main loop"
Multi-agent,H189-H196,v0.3,Agents,Conflict policy,"Disjoint write ownership and merge rules","Same-file conflicts are detected"
Context,H197-H204,v0.3,Context,Context budget,"Token estimate and category breakdown","Budget display tested with fixtures"
Context,H205-H212,v0.3,Context,Compaction,"Long-session summary and recovery","Compaction preserves required facts"
Rust runner,H213-H220,v0.3,Rust,Runner skeleton,"magi-runner binary and JSON-RPC bridge","TS core can call runner"
Rust runner,H221-H230,v0.3,Rust,PTY and process,"Spawn, stream, timeout, kill process","PTY smoke passes on Linux/macOS"
Rust runner,H231-H238,v0.3,Rust,File diff and audit,"Apply patch and emit audit events","Audit records match tool events"
Plugins,H239-H248,v0.4,Plugins,Plugin manifest,"Clean-room plugin.json schema","Schema tests pass"
Plugins,H249-H256,v0.4,Plugins,Custom marketplace,"Local/git/url custom marketplace","Official Claude marketplace excluded"
Skills,H257-H264,v0.4,Skills,Skill loader,"Local skill instructions, scripts, assets","Progressive loading tested"
Web,H265-H274,v0.4,Web,Web panel,"Sessions, jobs, approvals, provider status","Panel uses OpenAPI client"
Intelligent routing,H275-H282,v0.4,Routing,Task classifier,"Prompt/task classification for quick-chat, coding, review, planning, extraction, long-context, tool-heavy","magi routes classify tests pass"
Intelligent routing,H283-H292,v0.4,Routing,Model capability profiles,"Config schema for model capability, cost, context, speed, tool reliability","magi routes choose selects expected model for fixtures"
Intelligent routing,H293-H304,v0.4,Routing,Route quality store,"SQLite route metrics for latency, success, timeout, 429, 5xx, cost","Route status and rolling score tests pass"
Intelligent routing,H305-H314,v0.4,Routing,Dynamic route selection,"Capability fit plus quality/cost scorer with explicit --model override","Headless prompts use selected route and audit decision"
Monitoring,H315-H322,v0.4,Monitoring,Uptime Kuma push integration,"Route heartbeat pusher for Kuma push monitors; no dependency on internal Kuma admin API","Mock push endpoint receives up/down latency events"
Monitoring,H323-H330,v0.4,Monitoring,Route status panel,"Web panel route status, best route, failure history, Kuma link fields","Panel and Control API route status tests pass"
Experience parity,H331-H338,v0.4,TUI,Slash guide,"TTY slash suggestion menu and keyboard filtering","PTY snapshot tests pass"
Experience parity,H339-H346,v0.4,TUI,Resume picker,"Searchable resume picker for /resume and -r","Search, select, no-results, Esc tests pass"
Harness,H347-H360,v0.4,Quality,Complex task harness,"Fixture runner, scorer, logs, deterministic coding tasks","Quick harness passes fixture suite"
Mobile,H361-H372,v0.5,Mobile,First native app,"Paused until intelligent routing and harness are stable","App can pair and list sessions"
Mobile,H373-H382,v0.5,Mobile,Task and approval UI,"Paused until intelligent routing and harness are stable","End-to-end with magi serve passes"
Harmony PC,H383-H390,v0.5,HarmonyOS PC,Capability validation,"Terminal, filesystem, TLS, SQLite, process, TUI checklist","No support claim without real smoke"
Harmony PC,H391-H400,v0.5,HarmonyOS PC,Native CLI experiment,"Try Rust native target or compatible Linux path","magi doctor and magi -p run on target"
Harmony PC,H401-H408,v0.5,HarmonyOS PC,Packaging decision,"magi-harmony-pc experimental package or defer note","Decision based on verified results"
